1,1,431412.18714964774,248153.2
1,2,1651574.6814664134,226509.6
1,3,219012.36823932073,459078.0
1,4,2209003.0750681586,371880.0
1,5,2472798.384676899,421598.4
1,6,2209538.8304198263,516058.8
1,7,1982729.3836481902,672822.0
1,8,2508119.898379876,557109.6
1,9,2733481.653014491,583591.2
1,10,2553380.2132985033,685982.4
2,1,858889.6723108081,206549.2
2,2,1440758.9476712472,276928.8
2,3,1246810.1318100335,358125.2
2,4,1264052.454448362,382582.0
2,5,1814349.7651466667,451153.2
2,6,2424071.7387538776,588100.0
2,7,1121318.633708489,545343.2
2,8,1605904.9803781838,548271.2
2,9,2019738.4008463752,613126.0
2,10,2325406.713912705,725780.4
3,1,994764.2933114253,272969.6
3,2,1192566.1987756207,342031.6
3,3,1798567.0524189756,396363.8
3,4,1696216.5501995399,446876.2
3,5,1395748.5343090885,480948.6
3,6,2170374.5941781206,546967.4
3,7,2070738.7484193174,568585.6
3,8,1814703.9990962106,585562.0
3,9,1442405.9433003764,628165.4
3,10,1600780.7249313602,631729.0
