1,1,81687.31465642882,17001.333333333332
1,2,58812.50126844023,33278.0
1,3,127606.58459742923,31060.666666666668
1,4,88698.92433678347,40555.333333333336
1,5,175888.28001674276,48322.0
1,6,162651.18798778084,57359.333333333336
1,7,165958.33428515508,68258.0
1,8,162288.25689433777,76694.66666666667
1,9,160807.40366668132,79044.66666666667
1,10,176062.2825786299,89519.33333333333
2,1,83486.81337577106,22299.333333333332
2,2,134568.76510835197,35564.0
2,3,97296.33563298815,38098.0
2,4,140720.85573806177,46720.666666666664
2,5,129006.66307844743,55305.333333333336
2,6,153705.65075356246,66558.66666666667
2,7,123643.7765172209,84772.66666666667
2,8,160855.01856360576,77431.33333333333
2,9,149139.40859558678,89372.66666666667
2,10,164299.45935028477,90864.66666666667
3,1,77796.37105213427,35033.0
3,2,90091.8883146074,35616.0
3,3,98350.34954716431,45518.333333333336
3,4,114450.03012747742,51424.333333333336
3,5,131031.48857325288,63781.0
3,6,157189.1983067958,84061.66666666667
3,7,171226.71939836018,78352.33333333333
3,8,149380.84747449565,73586.0
3,9,175047.70177708543,84048.33333333333
3,10,173215.0341280261,97872.66666666667
